state,zip,plan,gender,company,rate_type,rate_min,rate_max,hhd_std_min,hhd_std_max,hhd_rm_min,hhd_rm_max,phone,website,address
NC,27101,G,MALE,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,131.94,131.94,,,122.7,122.7,866-458-1430,https://bankersfidelity.com/,"4370 Peachtree Road, NE Atlanta, GA  30319"
NC,27101,G,MALE,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,147.79,147.79,,,131.37,131.37,800-325-6300,https://www.physiciansmutual.com/cs/products/medsup/medsup.html,"2600 Dodge Street, Omaha, Nebraska 68131"
NC,27101,G,MALE,Nassau Life Insurance Company,ATTAINED_AGE,151.2,151.2,,,,,860-403-5000,https://www.nsre.com/,"One American Row, Hartford, CT  06103"
NC,27101,G,MALE,Old Surety Life Insurance Company,ISSUE_AGE,162.85,162.85,,,,,800-272-5466,http://www.oldsurety.com/,"5201 N Lincoln Blvd, Oklahoma City, OK 73105"
NC,27101,G,MALE,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,164.56,164.56,,,153.04,153.04,866-458-1430,https://bankersfidelity.com/,"4370 Peachtree Road, NE Atlanta, GA  30319"
NC,27101,G,MALE,Lumos Insurance,ATTAINED_AGE,165.54,165.54,,,153.95,153.95,800-752-8328,https://www.lumosinsurance.com/life-health,"2701 North Main Street, Crossville, TN 38555"
NC,27101,G,MALE,Insurance Company of North America,ATTAINED_AGE,166.75,166.75,,,155.08,155.08,215-640-1000,https://www.chubb.com/microsites/ace-medicare-supplement.html,436 Walnut Street
NC,27101,G,MALE,Globe Life and Accident Insurance Company,ATTAINED_AGE,168,168,,,156.24,156.24,888-678-3403,https://www.globelifeinsurance.com/globecaremedsupp,"3700 S. Stonebridge Drive McKinney, TX 75070"
NC,27101,G,MALE,LifeShield National Insurance Company,ATTAINED_AGE,170.56,170.56,,,158.62,158.62,800-851-5041,https://www.lifeshieldnational.com/,"5500 N Western Avenue, Suite 200, Oklahoma City, OK 73118"
NC,27101,G,MALE,HealthSpring Insurance Company,ATTAINED_AGE,171.92,171.92,,,,,877-607-6002,https://www.cigna.com/medicare/shop-plans/supplemental/,"PO Box 5700, Scranton PA 18505-5700"
NC,27101,G,MALE,WoodmenLife,ATTAINED_AGE,175.57,175.57,,,158.01,158.01,1-866-236-0029,https://www.woodmenlife.org/insurance/medicare-supplement-insurance/,"1700 Farnam Street, Omaha, NE 68102"
NC,27101,G,MALE,Erie Family Life Insurance Company,ATTAINED_AGE,177.95,177.95,163.71,163.71,163.71,163.71,800-458-0811,https://www.erieinsurance.com/medicare-supplement,"100 Erie Insurance Place Erie, PA  16530"
NC,27101,G,MALE,American Benefit Life Insurance Company,ATTAINED_AGE,178.74,178.74,,,160.87,160.87,833-504-0331,https://lbig.com/,"1605 LBJ Freeway, Suite 700 Dallas, Texas 75234"
NC,27101,G,MALE,AFLAC,ATTAINED_AGE,179.69,179.69,,,161.72,161.72,866-990-2668,https://www.aflac.com/individuals,"Aflac Tier One, PO Box 14863, Lexington, KY 40512-4863"
NC,27101,G,MALE,Medico Insurance Company (Preferred),ATTAINED_AGE,180.33,180.33,,,158.69,158.69,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,G,MALE,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,181.22,181.22,,,,,800-782-8332,https://www.statefarm.com/insurance/health/medicare-supplemental,"One State Farm Plaza, Bloomington, IL 61710"
NC,27101,G,MALE,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,181.49,181.49,,,,,800-446-5018,https://www.bankerslife.com/medicare-supplement-insurance/?src=medicaregov&medium=listing,"11299 Illinois Street, Suite 200, Carmel, IN 46032"
NC,27101,G,MALE,USAA Life Insurance Company,ATTAINED_AGE,184.28,184.28,,,,,800-531-8722,https://www.usaa.com/inet/wc/insurance-health-medicare,"9800 Fredericksburg Rd. San Antonio, TX 78288"
NC,27101,G,MALE,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,186.79,186.79,165.12,165.12,,,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,G,MALE,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,189.42,189.42,,,166.45,166.45,877-426-1269,https://www.humana.com/medicare/medicare-supplement-plans?kc=0321046030,"P.O. Box 14611 Lexington, KY 40512-4611"
NC,27101,G,MALE,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,190.09,190.09,178.68,178.68,178.68,178.68,877-417-7555,http://www.neweralife.com/,"P.O. Box 4884, Houston, TX 77210-4884"
NC,27101,G,MALE,Medico Insurance Company (Standard I),ATTAINED_AGE,198.37,198.37,,,174.57,174.57,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,G,MALE,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,204.57,204.57,173.28,173.28,183.71,183.71,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,G,MALE,BlueCross BlueShield of North Carolina,ATTAINED_AGE,205.5,205.5,,,,,800-478-0583,https://www.bluecrossnc.com/,"PO Box 2291 Durham, NC  27702-2291"
NC,27101,G,MALE,Aetna Health Insurance Company,ATTAINED_AGE,208.25,208.25,193.67,193.67,193.67,193.67,800-358-8749 ,https://www.aetnamedicare.com/,"PO Box 14088 Lexington, KY 40513"
NC,27101,G,MALE,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,212.34,212.34,,,186.86,186.86,855-977-6312,https://www.mutualofomaha.com/medicaregov/,"3300 Mutual of Omaha Plaza, Omaha, NE 68175"
NC,27101,G,MALE,Heartland National Life Insurance Company,ATTAINED_AGE,217.98,217.98,,,202.72,202.72,866-916-7971,http://www.heartlandnational.net/medicare.php,"P.O. Box 2878 Salt Lake City , UT 84110-2878"
NC,27101,G,MALE,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,221.35,221.35,,,194.55,194.55,888-602-7443,https://www.humana.com/medicare/medicare-supplement-plans?kc=0321046030,"P.O. Box 14611 Lexington, KY 40512-4614"
NC,27101,G,MALE,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,224.06,224.06,,,,,800-446-5018,https://www.bankerslife.com/medicare-supplement-insurance/?src=medicaregov&medium=listing,"11299 Illinois Street, Suite 200, Carmel, IN 46032"
NC,27101,G,MALE,Medico Insurance Company (Standard II),ATTAINED_AGE,225.41,225.41,,,198.36,198.36,800-228-6080,https://www.gomedico.com/,"P.O. Box 10386 Des Moines, IA 50306-0386"
NC,27101,G,MALE,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,231.45,231.45,,,205.73,205.73,800-325-6300,https://www.physiciansmutual.com/cs/products/medsup/medsup.html,"2600 Dodge Street, Omaha, Nebraska 68131"
NC,27101,G,MALE,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,257.89,257.89,,,,,877-607-6002,https://www.cigna.com/medicare/shop-plans/supplemental/,"PO Box 5700, Scranton PA 18505-5700"
NC,27101,G,MALE,GPM Health and Life Insurance Company,ATTAINED_AGE,312.66,312.66,,,290.77,290.77,866-242-7573,https://www.gpmhealthandlife.com/wps/portal/home/products/medicare-supplement,"2211 N.E. Loop 410 San Antonio, TX 78217-4630"
NC,27101,G,MALE,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,318.95,318.95,282.11,282.11,,,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,G,MALE,Guarantee Trust Life Insurance Company,ATTAINED_AGE,353.03,353.03,,,328.32,328.32,800-338-7452,https://www.gtlic.com/,"1275 Milwaukee Avenue Glenview, IL 60025"
NC,27101,G,MALE,United American Insurance Company,ATTAINED_AGE,357,357,,,,,800-331-2512,https://www2.unitedamerican.com/,"3700 S Stonebridge Dr, McKinney, TX 75070"
NC,27101,G,MALE,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,569.58,569.58,483.54,483.54,512.22,512.22,888-378-0849,https://www.aarpmedicaresupplement.com/,PO Box 9003; Huntingdon Valley PA 19006
NC,27101,G,FEMALE,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,114.97,114.97,,,106.92,106.92,866-458-1430,https://bankersfidelity.com/,"4370 Peachtree Road, NE Atlanta, GA  30319"
NC,27101,G,FEMALE,Nassau Life Insurance Company,ATTAINED_AGE,131.54,131.54,,,,,860-403-5000,https://www.nsre.com/,"One American Row, Hartford, CT  06103"
