state,zip,plan_letter,carrier_name,rate_type,gender,age,monthly_premium
NC,27713,G,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,M,65,131.94
NC,27713,G,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,M,65,147.79
NC,27713,G,Nassau Life Insurance Company,ATTAINED_AGE,M,65,151.2
NC,27713,G,Old Surety Life Insurance Company,ISSUE_AGE,M,65,162.85
NC,27713,G,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,M,65,164.56
NC,27713,G,Lumos Insurance,ATTAINED_AGE,M,65,165.54
NC,27713,G,Insurance Company of North America,ATTAINED_AGE,M,65,166.75
NC,27713,G,Globe Life and Accident Insurance Company,ATTAINED_AGE,M,65,168
NC,27713,G,LifeShield National Insurance Company,ATTAINED_AGE,M,65,170.56
NC,27713,G,HealthSpring Insurance Company,ATTAINED_AGE,M,65,171.92
NC,27713,G,WoodmenLife,ATTAINED_AGE,M,65,175.57
NC,27713,G,Erie Family Life Insurance Company,ATTAINED_AGE,M,65,177.95
NC,27713,G,American Benefit Life Insurance Company,ATTAINED_AGE,M,65,178.74
NC,27713,G,AFLAC,ATTAINED_AGE,M,65,179.69
NC,27713,G,Medico Insurance Company (Preferred),ATTAINED_AGE,M,65,180.33
NC,27713,G,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,M,65,181.22
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,M,65,181.49
NC,27713,G,USAA Life Insurance Company,ATTAINED_AGE,M,65,184.28
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,M,65,186.79
NC,27713,G,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,M,65,189.42
NC,27713,G,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,M,65,190.09
NC,27713,G,Medico Insurance Company (Standard I),ATTAINED_AGE,M,65,198.37
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,M,65,204.57
NC,27713,G,BlueCross BlueShield of North Carolina,ATTAINED_AGE,M,65,205.5
NC,27713,G,Aetna Health Insurance Company,ATTAINED_AGE,M,65,208.25
